DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Robe fourreau   Blanc, blanc et argenté  ,#e6c3a7,Silver,Tan,#e5c1ab,Silver,LightPink,#e3b3a4,Silver,Tan,#e4b593,Silver,Tan,,,
Robe fourreau   Blanc, blanc et argenté  ,#e6c3a7,Silver,Tan,#e5c1ab,Silver,LightPink,#e3b3a4,Silver,Tan,#e4b593,Silver,Tan,,,
Robe fourreau   Noir, noir et argenté  ,#362e2f,Black,MidnightBlue,#312a2d,Black,MidnightBlue,#302a2e,Black,MidnightBlue,#262125,Black,Black,,,
Robe fourreau   Noir, noir et argenté  ,#362e2f,Black,MidnightBlue,#312a2d,Black,MidnightBlue,#302a2e,Black,MidnightBlue,#262125,Black,Black,,,
Robe fourreau   Noir, noir et argenté  ,#362e2f,Black,MidnightBlue,#312a2d,Black,MidnightBlue,#2a2428,Black,Black,#262125,Black,Black,,,
Robe fourreau   Bleu marine, bleu marine  ,#2c3269,Teal,MidnightBlue,#282f6c,Teal,MidnightBlue,#4c4e73,Gray,DimGrey,#353e73,Teal,MidnightBlue,,,
Robe plissée   Bleu électrique, bleu électrique et bronze  ,#2682df,Teal,RoyalBlue,#f0d5bf,Silver,Moccasin,#3c95ec,Aqua,RoyalBlue,#267dd3,Teal,RoyalBlue,,,
Robe plissée   Bleu électrique, bleu électrique et bronze  ,#2682df,Teal,RoyalBlue,#f0d5bf,Silver,Moccasin,#3c95ec,Aqua,RoyalBlue,#267dd3,Teal,RoyalBlue,,,
Robe fourreau   Bleu marine, bleu marine et argenté  ,#3c477e,Teal,DimGrey,#374176,Teal,MidnightBlue,#353a69,Teal,MidnightBlue,#31375d,Teal,MidnightBlue,,,
Robe droite   Noir, noir  ,#2f2726,Black,Black,#38302f,Black,MidnightBlue,#392c27,Black,MidnightBlue,#ecd0b2,Silver,Moccasin,,,
